,DIV,color,
3,A3f,green,
2,A5a,green,
1,A5b,green,
4,A5f,green,
9,B1,darkgreen,
11,B20a,darkgreen,
10,B7a,darkgreen,
14,C1,yellow,
23,C116,orange,
84,C116ah,orange,
34,C116f,orange,
82,C116i,orange,
62,C116q,orange,
67,C116u,orange,
65,C12j,#0ACFB6,
12,C15,blue,blue
76,C15ae,#890766,purple
78,C15bk,#D63BAC,purple
71,C15by,grey,
20,C15ch,#1506A3,blue
47,C15cn,grey,
32,C15co,grey,
25,C15cp,#CF0AB2,blue + red
26,C15cq,#6B5EE4,blue
21,C15cs,grey,
18,C15ct,navy,
16,C15cu,#FB0A0A,red
22,C15cv,#B50707,red
33,C15cw,#D01758,red
49,C15cx,#E2467D,red
29,C15cy,#2A2FD6,
42,C15cz,grey,
39,C15db,#7808A6,
38,C15dl,grey,
66,C15dr,grey,
68,C15ds,#C571DA,
28,C15dz,grey,
30,C15ej,grey,
64,C15fx,grey,
45,C15fz,grey,
51,C15gr,grey,
37,C15hj,grey,
92,C15id,grey,
116,C15ig,grey,
95,C15jr,grey,
121,C15ks,grey,
56,C15lc,grey,
89,C15lg,grey,
35,C15ln,grey,
57,C15lo,grey,
61,C15lp,grey,
36,C15lq,grey,
40,C15ls,grey,
27,C15m,purple,
50,C15mc,grey,
41,C15ni,grey,
54,C15nl,grey,
91,C15nq,grey,
104,C15nr,grey,
105,C15ns,grey,
100,C15nt,grey,
112,C15nu,grey,
106,C15nv,grey,
63,C15ob,grey,
48,C15on,grey,
79,C15pf,grey,
108,C15ps,grey,
58,C15qm,grey,
130,C15qx,grey,
53,C15qz,grey,
55,C15sw,grey,
126,C15tm,grey,
59,C15tw,grey,
93,C15tz,grey,
15,C1b,yellow,
46,C1bp,yellow,
31,C1d,yellow,
24,C1u,yellow,
13,C3,yellow,
94,C3cn,yellow,
17,C3dc,yellow,
60,C3df,yellow,
44,C3dg,yellow,
69,C3dh,yellow,
96,C3mo,yellow,
85,C3mp,yellow,
99,C3mq,yellow,
43,C3rf,yellow,
19,C50a,darkgrey,
137,D1,Black,
142,D1as,Black,
144,D1at,Black,
141,D1c,Black,
145,D1h,Black,
143,D2,Black,
138,D4,Black,
139,D4c,Black,
140,D6,Black,
118,X16498_C,pink,
115,X199221_C,pink,
110,X23252_C,pink,
132,X23728_C,pink,
72,X38376_C,pink,
70,X3887_C,pink,
5,X455113_A,green,
6,X455114_A,green,
97,X455193_C,pink,
123,X455252_C,pink,
7,X455264_A,green,
8,X455266_A,green,
135,X478906_C,pink,
136,X527_C,pink,
73,X5368_C,pink,
74,X54759_C,pink,
88,X54777_C,pink,
120,X594_C,pink,
107,X620_C,pink,
128,X667_C,pink,
103,X69876_C,pink,
52,X71064_C,pink,
80,X71079_C,pink,
77,X71093_C,pink,
75,X71105_C,pink,
114,X71112_C,pink,
111,X71113_C,pink,
102,X71114_C,pink,
131,X71115_C,pink,
134,X71116_C,pink,
119,X71121_C,pink,
83,X71150_C,pink,
98,X71156_C,pink,
109,X71157_C,pink,
86,X71194_C,pink,
87,X71200_C,pink,
127,X71201_C,pink,
90,X71202_C,pink,
101,X71213_C,pink,
81,X71310_C,pink,
129,X71323_C,pink,
124,X71327_C,pink,
122,X71364_C,pink,
125,X71365_C,pink,
133,X71366_C,pink,
117,X802_C,pink,
113,X806_C,pink,
