Tag_number,filename,Sample_ID,Sample_symbio,Sample_symbio2,Lineage
1086,cat_5-Baum_S5_L003_R1_001_TCAC.nosymbio.fastq.bt2.bam,117_2015a,168_2015b,168_2015b,Red
122b,cat_6-Baum_S6_L003_R1_001_CATC.nosymbio.fastq.bt2.bam,159_2015b,159_2015b,159_2015b,Red
183_1114_1340,cat_5-Baum_S5_L003_R1_001_ACCA.nosymbio.fastq.bt2.bam,168_2015c,183_2014,183_2014,Red
25,cat_5-Baum_S5_L003_R1_001_GTGA.nosymbio.fastq.bt2.bam,187_2015c,25_2014,25_2014,Red
97,cat_6-Baum_S6_L003_R1_001_TGGT.nosymbio.fastq.bt2.bam,24_2015b,24_2015b,24_2015b,Red
818_1350,cat_8-Baum_S8_L003_R1_001_CATC.nosymbio.fastq.bt2.bam,269_2015c,314_2015b,314_2015b,Red
812,cat_6-Baum_S6_L003_R1_001_CTAC.nosymbio.fastq.bt2.bam,279_2015c,308_2015b,308_2015b,Red
834_947_1437,cat_2-Baum_S2_L003_R1_001_GTGA.nosymbio.fastq.bt2.bam,295_2015c,330_2015b,330_2015b,Red
821,cat_2-Baum_S2_L003_R1_001_ACCA.nosymbio.fastq.bt2.bam,317_2015b,317_2015b,317_2015b,Red
831,cat_8-Baum_S8_L003_R1_001_TCAG.nosymbio.fastq.bt2.bam,327_2015b,327_2015b,327_2015b,Red
144,cat_8-Baum_S8_L003_R1_001_GCTT.nosymbio.fastq.bt2.bam,327_2015c,49_2015b,49_2015b,Red
434,cat_6-Baum_S6_L003_R1_001_AGTG.nosymbio.fastq.bt2.bam,344_2015c,434_2014,434_2014,Red
119,cat_3-Baum_S3_L003_R1_001_TGTC.nosymbio.fastq.bt2.bam,35_2015b,35_2015b,35_2015b,Red
445_683,cat_3-Baum_S3_L003_R1_001_TGGT.nosymbio.fastq.bt2.bam,353_2015c,133_2015b,133_2015b,Red
880,cat_1-Baum_S1_L003_R1_001_TGTC.nosymbio.fastq.bt2.bam,386_2015c,386_2015c,386_2015c,Red
883,cat_4-Baum_S4_L003_R1_001_TCAC.nosymbio.fastq.bt2.bam,389_2015c,389_2015c,389_2015c,Red
374_891_1294,cat_5-Baum_S5_L003_R1_001_CATC.nosymbio.fastq.bt2.bam,400_2015c,374_2014,374_2014,Red
874,cat_4-Baum_S4_L003_R1_001_AGAC.nosymbio.fastq.bt2.bam,50_2016a,236_2015c,236_2015c,Red
847,cat_1-Baum_S1_L003_R1_001_CATC.nosymbio.fastq.bt2.bam,511_2015c,343_2015b,343_2015b,Red
842_1090,cat_5-Baum_S5_L003_R1_001_GACT.nosymbio.fastq.bt2.bam,522_2015c,338_2015b,338_2015b,Red
842_1090,9_Astrangia_Pool_2_S1_L007_R1_001_GACT.nosymbio.fastq.bt2.bam,522_2015c,338_2015b,338_2015b,Red
430,14_Astrangia_Pool_2_S6_L007_R1_001_GCTT.nosymbio.fastq.bt2.bam,62_2015b,62_2015b,62_2015b,Red
441,cat_5-Baum_S5_L003_R1_001_TGTC.nosymbio.fastq.bt2.bam,74_2015b,74_2015b,74_2015b,Red
441,cat_8-Baum_S8_L003_R1_001_TGTC.nosymbio.fastq.bt2.bam,74_2015b,74_2015b,74_2015b,Red
46,cat_7-Baum_S7_L003_R1_001_GTGA.nosymbio.fastq.bt2.bam,87_2015c,145_2015b,145_2015b,Red
596,cat_8-Baum_S8_L003_R1_001_TCAC.nosymbio.fastq.bt2.bam,91_2015b,91_2015b,91_2015b,Red
407_1103_1378,cat_7-Baum_S7_L003_R1_001_TGGT.nosymbio.fastq.bt2.bam,FL055_2017,407_2014,407_2014,Red
746_1058,cat_6-Baum_S6_L003_R1_001_GCTT.nosymbio.fastq.bt2.bam,FL11_2016a,223_2015b,223_2015b,Red
194,cat_5-Baum_S5_L003_R1_001_TCAG.nosymbio.fastq.bt2.bam,FL167_2016a,194_2014,194_2014,Red
853,cat_7-Baum_S7_L003_R1_001_AGAC.nosymbio.fastq.bt2.bam,FL95_2016a,349_2015b,349_2015b,Red
1_1425,cat_2-Baum_S2_L003_R1_001_AGTG.nosymbio.fastq.bt2.bam,1_2015c,1_2015b,1_2015b,Blue
601,cat_1-Baum_S1_L003_R1_001_GCTT.nosymbio.fastq.bt2.bam,120_2015c,120_2015c,120_2015c,Blue
