Unique_ID,sample_name,coral_tag,host_phylum,host_class,host_order,host_family,host_genus,host_species,Site,windward_leeward,Disturbance,Disturbance_cat,Species,expedition,tube_number,fastq_file_name,fastq_fwd_file_name,fastq_rev_file_name,Sequencing_run,Sequence_count,
119_2018,119_2018,1112,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2018,119,119-2018_S86_L001_R1_001.fastq,119-2018_S86_L001_R1_001.fastq,119-2018_S86_L001_R2_001.fastq.gz,Starko_Shedd,15651,
120_2018,120_2018,183_1114_1340,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2018,120,120-2018_S87_L001_R1_001.fastq,120-2018_S87_L001_R1_001.fastq,120-2018_S87_L001_R2_001.fastq.gz,Starko_Shedd,13926,
146_2017,1144_2017,1144,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,146,146_S146_L001_run4_R1_001.fastq,146_S146_L001_run4_R1_001.fastq,146_S146_L001_run4_R2_001.fastq.gz,run4,2643,
148_2017,230_2017,230,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,148,148_S148_L001_run4_R1_001.fastq,148_S148_L001_run4_R1_001.fastq,148_S148_L001_run4_R2_001.fastq.gz,run4,849,
149_2017,1146_2017,1146,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,149,149_S149_L001_run4_R1_001.fastq,149_S149_L001_run4_R1_001.fastq,149_S149_L001_run4_R2_001.fastq.gz,run4,1657,
150_2017,1148_2017,1147,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,150,150_S150_L001_run4_R1_001.fastq,150_S150_L001_run4_R1_001.fastq,150_S150_L001_run4_R2_001.fastq.gz,run4,2265,
151_2017,1149_2017,1148,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,151,151_S151_L001_run4_R1_001.fastq,151_S151_L001_run4_R1_001.fastq,151_S151_L001_run4_R2_001.fastq.gz,run4,401,
151_2015c,172_1112_2015c,172,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2015c,151,151-15C_S69_L001_R1_001.fastq,151-15C_S69_L001_R1_001.fastq,151-15C_S69_L001_R2_001.fastq.gz,Bleaching3_run,0,
168_2015c,183_1114_2015c,183_1114_1340,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2015c,168,168-15C_S54_L001_R1_001.fastq,168-15C_S54_L001_R1_001.fastq,168-15C_S54_L001_R2_001.fastq.gz,Bleaching3_run,19806,
177_2015c,230_2015c,230,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2015c,177,177-15C_S7_L001_R1_001.fastq,177-15C_S7_L001_R1_001.fastq,177-15C_S7_L001_R2_001.fastq.gz,Bleaching3_run,0,
28_2019,28_2019,183_1114_1340,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2019,28,28-2019_S381_L001_R1_001.fastq,28-2019_S381_L001_R1_001.fastq,28-2019_S381_L001_R2_001.fastq.gz,Starko_Shedd,22615,
67_2017,1112_172_2017,1112,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,67,67_S67_L001_run4_R1_001.fastq,67_S67_L001_run4_R1_001.fastq,67_S67_L001_run4_R2_001.fastq.gz,run4,616,
69_2017,1114_183_2017,183_1114_1340,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2017,69,69_S69_L001_run4_R1_001.fastq,69_S69_L001_run4_R1_001.fastq,69_S69_L001_run4_R2_001.fastq.gz,run4,783,
156_2014,156_2014,156,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,156,KI14FSYM156_S51_L001_R1_001.fastq,KI14FSYM156_S51_L001_R1_001.fastq,KI14FSYM156_S51_L001_R2_001.fastq.gz,run5,23850,
168_2014,168_2014,168,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,168,KI14FSYM168_S30_L001_R1_001.fastq,KI14FSYM168_S30_L001_R1_001.fastq,KI14FSYM168_S30_L001_R2_001.fastq.gz,run5,21685,
169_2014,169_2014,169,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,169,KI14FSYM169_S36_L001_R1_001.fastq,KI14FSYM169_S36_L001_R1_001.fastq,KI14FSYM169_S36_L001_R2_001.fastq.gz,run5,14779,
172_2014,172_1112_2014,172,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,172,KI14FSYM172_S60_L001_R1_001.fastq,KI14FSYM172_S60_L001_R1_001.fastq,KI14FSYM172_S60_L001_R2_001.fastq.gz,run5,17136,
177_2014,177_2014,177,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,177,KI14FSYM177_S90_L001_R1_001.fastq,KI14FSYM177_S90_L001_R1_001.fastq,KI14FSYM177_S90_L001_R2_001.fastq.gz,run5,23903,
180_2014,180_2014,180,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,180,KI14FSYM180_S110_L001_R1_001.fastq,KI14FSYM180_S110_L001_R1_001.fastq,KI14FSYM180_S110_L001_R2_001.fastq.gz,run5,15421,
183_2014,183_1114_2014,183_1114_1340,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,183,KI14FSYM183_S125_L001_R1_001.fastq,KI14FSYM183_S125_L001_R1_001.fastq,KI14FSYM183_S125_L001_R2_001.fastq.gz,run5,16967,
238_2014,238_2014,238,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,238,KI14FSYM238_S149_L001_R1_001.fastq,KI14FSYM238_S149_L001_R1_001.fastq,KI14FSYM238_S149_L001_R2_001.fastq.gz,run5,15947,
239_2014,239_2014,239,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,3,windward,808.5521265,Low,Porites lobata,2014,239,KI14FSYM239_S156_L001_R1_001.fastq,KI14FSYM239_S156_L001_R1_001.fastq,KI14FSYM239_S156_L001_R2_001.fastq.gz,run5,12290,
156_2019,156_2019,794b_946,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2019,156,156-2019_S263_L001_R1_001.fastq,156-2019_S263_L001_R1_001.fastq,156-2019_S263_L001_R2_001.fastq.gz,Starko_Shedd,18040,
161_2019,161_2019,818_1350,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2019,161,161-2019_S265_L001_R1_001.fastq,161-2019_S265_L001_R1_001.fastq,161-2019_S265_L001_R2_001.fastq.gz,Starko_Shedd,43952,
162_2019,162_2019,821,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2019,162,162-2019_S266_L001_R1_001.fastq,162-2019_S266_L001_R1_001.fastq,162-2019_S266_L001_R2_001.fastq.gz,Starko_Shedd,37368,
163_2019,163_2019,1066,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2019,163,163-2019_S267_L001_R1_001.fastq,163-2019_S267_L001_R1_001.fastq,163-2019_S267_L001_R2_001.fastq.gz,Starko_Shedd,150600,
170_2019,170_2019,831,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2019,170,170-2019_S272_L001_R1_001.fastq,170-2019_S272_L001_R1_001.fastq,170-2019_S272_L001_R2_001.fastq.gz,Starko_Shedd,23016,
173_2019,173_2019,834_947_1437,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2019,173,173-2019_S273_L001_R1_001.fastq,173-2019_S273_L001_R1_001.fastq,173-2019_S273_L001_R2_001.fastq.gz,Starko_Shedd,0,
175_2018,175_2018,818_1350,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2018,175,175-2018_S124_L001_R1_001.fastq,175-2018_S124_L001_R1_001.fastq,175-2018_S124_L001_R2_001.fastq.gz,Starko_Shedd,16069,
18_2017,946_2017,794b_946,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2017,18,18_S18_L001_run4_R1_001.fastq,18_S18_L001_run4_R1_001.fastq,18_S18_L001_run4_R2_001.fastq.gz,run4,8755,
186_2018,186_2018,816b,cnidaria,anthozoa,scleractinia,poritidae,Porites,lobata,5,leeward,0,Very Low,Porites lobata,2018,186,186-2018_S130_L001_R1_001.fastq,186-2018_S130_L001_R1_001.fastq,186-2018_S130_L001_R2_001.fastq.gz,Starko_Shedd,15974,
